TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	125/04/09
TIME	11:53:23
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
1.00000
0.00001
FIRSTX	600.0000
LASTX	400.0000
NPOINTS	201
FIRSTY	0.11821
MAXY	0.30741
MINY	0.11761
600.0000	0.11821
599.0000	0.11808
598.0000	0.11886
597.0000	0.11834
596.0000	0.11847
595.0000	0.11761
594.0000	0.11841
593.0000	0.11799
592.0000	0.11811
591.0000	0.11828
590.0000	0.11891
589.0000	0.11938
588.0000	0.11834
587.0000	0.11977
586.0000	0.11902
585.0000	0.11947
584.0000	0.1194
583.0000	0.11933
582.0000	0.11993
581.0000	0.12017
580.0000	0.11941
579.0000	0.12038
578.0000	0.1199
577.0000	0.12012
576.0000	0.11991
575.0000	0.12191
574.0000	0.12053
573.0000	0.12125
572.0000	0.1214
571.0000	0.122
570.0000	0.12208
569.0000	0.12373
568.0000	0.12331
567.0000	0.12261
566.0000	0.12522
565.0000	0.12375
564.0000	0.12429
563.0000	0.12602
562.0000	0.12702
561.0000	0.12678
560.0000	0.12946
559.0000	0.12946
558.0000	0.13136
557.0000	0.13456
556.0000	0.13527
555.0000	0.13686
554.0000	0.14096
553.0000	0.14329
552.0000	0.14687
551.0000	0.15043
550.0000	0.15527
549.0000	0.15935
548.0000	0.16405
547.0000	0.17127
546.0000	0.17609
545.0000	0.18296
544.0000	0.19055
543.0000	0.1986
542.0000	0.20619
541.0000	0.21471
540.0000	0.22332
539.0000	0.23265
538.0000	0.24295
537.0000	0.2519
536.0000	0.26113
535.0000	0.26833
534.0000	0.27708
533.0000	0.28535
532.0000	0.29114
531.0000	0.29526
530.0000	0.30023
529.0000	0.30439
528.0000	0.30594
527.0000	0.30661
526.0000	0.30741
525.0000	0.30623
524.0000	0.3033
523.0000	0.29963
522.0000	0.29627
521.0000	0.29254
520.0000	0.28893
519.0000	0.28104
518.0000	0.27578
517.0000	0.26954
516.0000	0.26305
515.0000	0.2575
514.0000	0.25253
513.0000	0.24653
512.0000	0.24078
511.0000	0.23516
510.0000	0.23128
509.0000	0.2263
508.0000	0.22216
507.0000	0.21885
506.0000	0.21532
505.0000	0.21228
504.0000	0.20988
503.0000	0.20739
502.0000	0.20468
501.0000	0.20445
500.0000	0.20227
499.0000	0.1995
498.0000	0.19952
497.0000	0.19741
496.0000	0.19745
495.0000	0.19523
494.0000	0.19347
493.0000	0.19203
492.0000	0.1922
491.0000	0.19097
490.0000	0.18825
489.0000	0.18655
488.0000	0.18617
487.0000	0.18488
486.0000	0.18161
485.0000	0.17874
484.0000	0.17661
483.0000	0.17497
482.0000	0.17436
481.0000	0.17047
480.0000	0.16996
479.0000	0.16831
478.0000	0.16589
477.0000	0.16351
476.0000	0.16282
475.0000	0.16078
474.0000	0.16014
473.0000	0.15735
472.0000	0.1564
471.0000	0.15632
470.0000	0.15559
469.0000	0.15512
468.0000	0.15295
467.0000	0.15391
466.0000	0.15231
465.0000	0.15169
464.0000	0.15227
463.0000	0.15116
462.0000	0.15018
461.0000	0.15162
460.0000	0.15
459.0000	0.15003
458.0000	0.14878
457.0000	0.14918
456.0000	0.14997
455.0000	0.14921
454.0000	0.14911
453.0000	0.14853
452.0000	0.14876
451.0000	0.14714
450.0000	0.14808
449.0000	0.14891
448.0000	0.14724
447.0000	0.14808
446.0000	0.14823
445.0000	0.14834
444.0000	0.14875
443.0000	0.14713
442.0000	0.14794
441.0000	0.14723
440.0000	0.14978
439.0000	0.14914
438.0000	0.14845
437.0000	0.14951
436.0000	0.14951
435.0000	0.14908
434.0000	0.14863
433.0000	0.15036
432.0000	0.15112
431.0000	0.15015
430.0000	0.14953
429.0000	0.14945
428.0000	0.1491
427.0000	0.1515
426.0000	0.15268
425.0000	0.1533
424.0000	0.15252
423.0000	0.15171
422.0000	0.1541
421.0000	0.15301
420.0000	0.1544
419.0000	0.15396
418.0000	0.15551
417.0000	0.15631
416.0000	0.15507
415.0000	0.15685
414.0000	0.15591
413.0000	0.15693
412.0000	0.15862
411.0000	0.15714
410.0000	0.15843
409.0000	0.15904
408.0000	0.16009
407.0000	0.16102
406.0000	0.161
405.0000	0.16245
404.0000	0.16166
403.0000	0.16406
402.0000	0.1625
401.0000	0.16438
400.0000	0.16471
