campione;CLD;CSD;;NLD;NSD
A;277;182;;103;73
A;298;184;;108;71
A;290;184;;106;66
A;252;165;;120;50
A;270;168;;108;63
A;303;168;;115;60
A;280;180;;112;47
A;277;219;;111;69
A;287;210;;123;76
A;284;182;;103;50
A;300;188;;110;53
A;294;174;;105;57
A;250;164;;99;55
A;270;193;;114;63
A;287;164;;97;75
A;301;178;;96;61
A;280;181;;123;67
A;284;156;;98;45
A;283;161;;98;60
B;447;297;;141;108
B;413;300;;151;97
B;444;258;;132;96
B;417;275;;140;93
B;385;306;;174;72
B;445;272;;135;64
B;425;250;;138;78
B;437;236;;156;86
C;421;241;;134;83
C;434;272;;128;83
C;456;295;;179;60
C;424;251;;135;55
C;382;240;;148;83
C;376;262;;118;75
C;383;221;;171;75
C;395;221;;154;61
C;426;228;;144;78
C;397;258;;163;60
C;443;262;;129;83
