Specie,CLD,CSD,RATIO C,NLD,NSD,RATIO N
Limnonectes limnocharis,19.6,13.2,0.67,7.9,4.9,0.62
Pyxicephalus adspersus,,,,,,
Rana catesbeiana,25,12.4,0.50,9.9,5.7,0.58
""" """,24.8,15.3,0.62,,,
""" """,26.1,13.5,0.52,10,5.6,0.56
""" """,27.9,15.4,0.55,10.3,5.6,0.54
""" """,25.7,14.2,0.55,,,
Rana clamitans,22.5,15,0.67,,,
""" """,23,11.9,0.52,,,
Rana esculenta,25.4,17.6,0.69,,,
Rana japonica,21.8,14.3,0.66,8.9,5.3,0.60
Rana nigromaculata,21.8,14.3,0.66,9.3,5.5,0.59
Rana palustris,20.4,12.7,0.62,,,
Rana pipiens,21.5,12.2,0.57,8.8,5.2,0.59
""" """,23.8,16.2,0.68,,,
""" """,20.5,13.2,0.64,,,
Rana porosa,22.9,14.9,0.65,8.5,5.4,0.64
Rana rugosa,26.6,16.1,0.61,12,6.4,0.53
Rana sylvatica,25.5,16.5,0.65,,,
Rana tagoi,24.5,14.2,0.58,10,5.7,0.57
Rana temporaria,22.9,13.9,0.61,8.2,4,0.49
""" """,24.6,16.9,0.69,,,
Rana tsushimensis,22.2,14.2,0.64,9.5,5.1,0.54
