Distance_(pixels),Gray_Value
0,152.0000
1,152.2345
2,152.4691
3,153.2466
4,153.9498
5,154.5388
6,154.5244
7,154.8742
8,154.4162
9,151.7843
10,151.9426
11,154.8985
12,156.7614
13,155.0391
14,153.5644
15,153.1969
16,153.7353
17,154.5424
18,155.2743
19,155.0762
20,153.8697
21,153.0749
22,153.3837
23,154.6361
24,156.0140
25,154.9954
26,151.6521
27,150.9089
28,151.3110
29,150.5105
30,151.1596
31,151.9644
32,151.3915
33,150.2409
34,150.0476
35,150.8111
36,151.5485
37,151.0118
38,150.9177
39,150.0925
40,149.6648
41,151.0873
42,151.1498
43,150.9153
44,150.9258
45,151.0000
46,151.7114
47,151.9772
48,151.7427
49,150.8808
50,150.7090
51,151.5490
52,151.9108
53,152.0000
54,151.6762
55,151.0546
56,151.0576
57,151.7713
58,152.7517
59,152.7093
60,151.6808
61,150.7088
62,150.1209
63,150.4599
64,151.4143
65,153.4062
66,154.4847
67,153.4149
68,151.9520
69,151.1947
70,151.8567
71,152.6443
72,152.0150
73,151.0395
74,150.6709
75,150.9405
76,151.0000
77,151.7936
78,152.5218
79,153.2593
80,153.2378
81,152.2723
82,152.5655
83,154.3037
84,156.2414
85,155.7374
86,153.6489
87,153.1590
88,153.5096
89,153.3017
90,153.7968
91,153.8615
92,151.9984
93,151.3202
94,151.9833
95,150.8934
96,149.2039
97,148.8201
98,149.2547
99,150.5727
100,151.5472
101,151.0247
102,149.2767
103,149.9762
104,151.0866
105,151.9780
106,151.8599
107,151.9974
108,151.0254
109,149.6403
110,149.7980
111,150.9231
112,152.1296
113,152.0830
114,152.0000
115,151.2443
116,151.2052
117,150.3996
118,148.8373
119,149.3633
120,151.4202
121,152.3779
122,151.8042
123,150.5850
124,149.3922
125,148.6840
126,148.8724
127,148.9922
128,149.8368
129,151.4441
130,150.9780
131,149.5537
132,149.3870
133,149.3941
134,148.5011
135,149.2020
136,150.9370
137,152.1092
138,152.0000
139,152.0636
140,152.8469
141,152.8598
142,152.0912
143,151.3876
144,151.4299
145,151.9442
146,151.1116
147,149.6984
148,148.4358
149,148.0096
150,149.2993
151,151.1440
152,151.1672
153,150.2860
154,150.1173
155,151.0098
156,151.2170
157,148.5922
158,147.0472
159,148.1630
160,149.2162
161,150.5975
162,151.9905
163,151.2312
164,151.0865
165,152.0000
166,151.9761
167,152.0000
168,151.8823
169,151.4618
170,151.2606
171,151.0386
172,150.2052
173,150.4541
174,152.7655
175,154.0000
176,154.0000
177,154.0213
178,154.7357
179,154.0141
180,153.7941
181,153.0387
182,152.7151
183,152.9186
184,153.8692
185,154.0000
186,153.7017
187,153.0951
188,153.0912
189,153.3257
190,152.8827
191,152.7948
192,153.0000
193,153.5935
194,153.7182
195,152.8732
196,152.0651
197,152.4814
198,153.4534
199,154.0000
200,153.6402
201,153.3176
202,154.2659
203,154.5635
204,153.7769
205,154.2372
206,154.7590
207,154.9089
208,154.7818
209,155.0000
210,155.0000
211,155.0000
212,155.0172
213,155.0456
214,154.8121
215,154.9903
216,155.0000
217,154.0788
218,153.3473
219,153.7231
220,154.1922
221,154.6612
222,154.2698
223,153.5466
224,153.9215
225,155.2345
226,156.0043
227,155.5967
228,155.4723
229,156.1203
230,156.3911
231,155.9070
232,155.7952
233,155.8321
234,155.4345
235,154.2612
236,153.9504
237,154.5231
238,154.2327
239,154.0835
240,153.3171
241,153.7999
242,154.1404
243,154.0154
244,150.2248
245,150.4593
246,151.0202
247,153.9283
248,153.8371
249,153.6026
250,153.3681
