Distance_(pixels),Gray_Value
0,154.000
1,154.767
2,154.164
3,153.383
4,153.789
5,154.882
6,155.000
7,154.583
8,153.243
9,153.057
10,153.216
11,154.452
12,156.165
13,156.934
14,155.661
15,154.353
16,155.604
17,156.360
18,155.570
19,154.485
20,154.662
21,155.000
22,154.518
23,154.000
24,153.939
25,153.381
26,153.000
27,153.364
28,153.661
29,152.934
30,152.700
31,153.270
32,154.246
33,154.829
34,154.087
35,154.098
36,154.203
37,153.666
38,152.260
39,152.404
40,153.058
41,154.000
42,153.989
43,152.802
44,152.578
45,152.022
46,154.612
47,154.872
48,152.947
49,153.475
50,154.321
51,153.852
52,152.356
53,152.365
54,152.701
55,152.824
56,152.000
57,152.118
58,152.881
59,153.643
60,153.819
61,154.168
62,154.298
63,154.394
64,154.517
65,154.549
66,153.814
67,153.480
68,154.069
69,154.043
70,152.993
71,152.877
72,153.219
73,153.820
74,155.254
75,157.100
76,155.819
77,154.405
78,155.247
79,156.333
80,156.203
81,154.928
82,154.462
83,155.867
84,157.346
85,157.332
86,157.738
87,157.364
88,156.551
89,157.237
90,157.094
91,157.264
92,156.251
93,154.629
94,155.174
95,155.834
96,156.104
97,155.792
98,156.705
99,155.931
100,154.955
101,155.192
102,154.432
103,152.543
104,152.217
105,153.448
106,154.868
107,154.620
108,153.065
109,152.688
110,153.695
111,154.614
112,154.678
113,153.860
114,152.537
115,152.333
116,153.052
117,153.733
118,154.364
119,155.156
120,154.797
121,153.607
122,152.775
123,152.701
124,153.263
125,154.200
126,154.597
127,153.660
128,153.085
129,152.691
130,152.667
131,153.632
132,153.041
133,152.279
134,152.360
135,154.017
136,154.236
137,153.484
138,152.996
139,154.066
140,156.050
141,156.536
142,155.605
143,154.443
144,153.463
145,152.806
146,153.008
147,152.996
148,152.175
149,152.683
150,152.747
151,151.261
152,150.793
153,151.858
154,151.541
155,150.241
156,150.143
157,150.269
158,149.999
159,150.274
160,149.871
161,149.957
162,150.517
163,151.677
164,153.272
165,150.847
166,149.757
167,150.733
168,151.623
169,150.669
170,150.598
171,151.129
172,147.662
173,148.850
174,149.668
175,149.064
176,149.000
177,149.164
178,148.653
179,148.786
180,148.240
181,146.705
182,145.315
183,145.814
184,146.933
185,146.620
186,145.418
187,147.022
188,148.029
189,146.981
190,145.790
191,146.052
192,147.955
193,148.851
194,147.597
195,146.145
196,145.744
197,145.635
198,145.934
199,146.767
200,147.557
201,147.027
202,145.837
203,144.762
204,144.172
205,144.888
206,143.576
207,144.460
208,144.647
209,143.445
210,143.644
211,142.729
212,139.065
213,139.332
214,139.333
215,138.359
216,136.487
217,134.141
218,133.063
219,131.702
220,130.495
221,130.325
222,132.079
223,131.257
224,128.095
225,125.385
226,124.505
227,124.683
228,124.934
229,125.620
230,125.854
231,125.535
232,125.321
233,126.076
234,128.031
235,128.535
236,127.795
237,127.054
238,126.326
239,126.210
240,125.653
241,125.323
242,126.899
243,128.966
244,128.499
245,127.996
246,129.323
247,129.109
