Distance_(pixels),Gray_Value
0,153.000
1,152.321
2,152.546
3,153.140
4,154.715
5,156.031
6,155.722
7,155.111
8,154.815
9,154.486
10,154.732
11,154.997
12,154.324
13,154.000
14,154.476
15,155.000
16,155.000
17,154.636
18,154.000
19,154.615
20,155.463
21,155.364
22,153.833
23,153.243
24,153.000
25,153.065
26,153.900
27,153.996
28,153.665
29,153.078
30,153.195
31,153.915
32,154.208
33,153.985
34,153.922
35,154.691
36,154.892
37,154.343
38,153.421
39,152.812
40,152.927
41,153.213
42,152.797
43,151.862
44,151.374
45,152.517
46,152.404
47,150.041
48,149.340
49,150.977
50,151.914
51,151.155
52,151.795
53,151.507
54,150.678
55,150.688
56,150.328
57,148.949
58,150.882
59,151.333
60,150.577
61,150.810
62,152.589
63,153.707
64,152.761
65,151.405
66,150.815
67,149.690
68,148.758
69,149.260
70,151.220
71,152.728
72,152.387
73,151.005
74,150.069
75,149.353
76,149.573
77,151.243
78,150.167
79,148.352
80,148.488
81,149.304
82,148.960
83,149.556
84,149.341
85,148.512
86,147.550
87,146.762
88,145.654
89,146.421
90,146.743
91,147.672
92,147.918
93,146.951
94,146.182
95,145.263
96,145.117
97,145.356
98,145.718
99,146.395
100,146.136
101,145.667
102,145.827
103,146.902
104,147.542
105,145.577
106,144.411
107,145.561
108,146.314
109,146.333
110,146.333
111,146.333
112,145.522
113,144.661
114,144.438
115,145.447
116,146.434
117,147.597
118,148.645
119,148.048
120,147.328
121,146.749
122,145.712
123,144.533
124,143.742
125,144.333
126,144.333
127,144.333
128,144.676
129,145.845
130,146.374
131,145.505
132,142.940
133,142.375
134,143.984
135,145.786
136,146.151
137,145.043
138,144.810
139,144.971
140,144.814
141,144.633
142,145.054
143,144.681
144,143.719
145,143.333
146,143.873
147,144.489
148,144.098
149,143.461
150,143.358
151,143.774
152,144.540
153,144.406
154,144.836
155,142.719
156,140.377
157,136.531
158,136.350
159,134.078
160,132.548
161,130.062
162,128.371
163,128.527
164,128.800
165,129.086
