Normalized Wavelength,Intensity
189.8471,0.2368565
190.5642,0.2396659
191.2828,0.2406031
191.9876,0.2593274
192.7055,0.2612007
193.4241,0.2621378
194.1369,0.2705643
194.854,0.2733737
195.5668,0.2818002
196.2825,0.2864819
196.999,0.2902275
197.7139,0.2958455
198.4289,0.3014635
199.1468,0.3033367
199.8654,0.3042738
200.5847,0.3042748
201.304,0.3042758
202.0247,0.3024043
202.7455,0.3005329
203.4706,0.2930445
204.1936,0.2883646
204.9158,0.2846209
205.651,0.2640261
206.3783,0.2537292
207.1084,0.2396876
207.8364,0.2284545
208.563,0.2190938
209.2946,0.2031798
210.0183,0.1975638
210.7427,0.1910115
211.4641,0.1882039
212.1856,0.1853964
212.9064,0.183525
213.6279,0.1807174
214.3472,0.1807183
215.0672,0.1797831
215.7865,0.1797841
216.5059,0.179785
217.2237,0.1816583
217.9423,0.1825954
218.6616,0.1825963
219.3802,0.1835335
220.0988,0.1844706
220.8174,0.1854077
221.5367,0.1854086
222.2553,0.1863457
222.9739,0.1872828
223.6939,0.1863476
224.414,0.1854124
225.1333,0.1854133
225.8533,0.1844781
226.5734,0.1835429
227.2934,0.1826076
228.0135,0.1816724
228.7342,0.179801
229.4543,0.1788658
230.1743,0.1779306
230.8936,0.1779315
231.6129,0.1779325
232.3322,0.1779334
233.0516,0.1779343
233.7701,0.1788714
234.4887,0.1798085
235.923,0.1854274
236.638,0.1910454
237.3537,0.1957272
238.0708,0.1985366
238.7873,0.2022823
239.5022,0.2079002
240.2201,0.2097735
240.9365,0.2135191
241.6529,0.2172647
242.3694,0.2210104
243.0843,0.2266283
243.8015,0.2294378
244.5172,0.2341195
245.2321,0.2397375
245.95,0.2416108
246.6686,0.2425479
247.3879,0.2425489
248.108,0.2416136
248.8295,0.2388061
249.5509,0.2359985
250.2753,0.2294462
251.0004,0.2219578
251.7349,0.2022992
252.4615,0.1929385
253.1888,0.1826416
253.9182,0.1695361
254.6433,0.1620477
255.3713,0.1508146
256.1008,0.1377092
256.8244,0.1320931
257.5502,0.1236685
258.2746,0.1171163
259.0026,0.1058832
