Wavelength,Relative intensity
500,1
501,1
502,1
503,1
504,2
505,2
506,2
507,2
508,3
509,3
510,4
511,4
512,5
513,6
514,6
515,7
516,9
517,10
518,12
519,13
520,15
521,17
522,19
523,22
524,24
525,27
526,30
527,34
528,37
529,42
530,46
531,50
532,54
533,59
534,63
535,68
536,73
537,77
538,81
539,85
540,88
541,91
542,94
543,95
544,97
545,98
546,99
547,100
548,100
549,99
550,97
551,96
552,95
553,93
554,91
555,89
556,86
557,84
558,81
559,79
560,76
561,73
562,70
563,68
564,65
565,62
566,60
567,58
568,56
569,54
570,52
571,50
572,48
573,47
574,45
575,43
576,42
577,41
578,40
579,39
580,38
581,36
582,35
583,34
584,34
585,33
586,32
587,31
588,31
589,29
590,29
591,28
592,27
593,27
594,26
595,25
596,24
597,24
598,23
599,22
600,22
601,21
602,20
603,20
604,19
605,18
606,18
607,17
608,16
609,15
610,15
611,14
612,14
613,13
614,13
615,12
616,12
617,11
618,11
619,10
620,10
621,10
622,9
623,9
624,9
625,8
626,8
627,8
628,7
629,7
630,7
631,7
632,7
633,6
634,6
635,6
636,6
637,5
638,5
639,5
640,5
641,5
642,5
643,4
644,4
645,4
646,4
647,4
648,4
649,4
650,4
651,4
652,4
653,3
654,3
655,3
656,3
657,3
658,3
659,3
660,3
661,3
662,2
663,2
664,2
665,2
666,2
667,2
668,2
669,2
670,2
671,2
672,2
673,2
674,2
675,2
676,2
677,2
678,2
679,1
680,2
681,2
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
700,0
