ecc_500,,ecc_510,,ecc_520,,ecc_490,,ecc_530,,ecc_526,,ecc_480,,ecc_470,,ecc_515,,ecc_460,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
504.9200134,2.618924379,514.9199829,10.42391014,525,69.88208008,495,2.332310915,534.9199829,312.468689,530.8900146,193.7303162,485,3.363497257,475,2.881419659,520,27.23195076,465,3.064388752,
505.9700012,2.041665792,515.9699707,11.70786476,526.0599976,81.97631073,496.0599976,1.188609123,535.9699707,349.7686768,531.9400024,220.4419861,486.0599976,1.611427426,476.0599976,1.330202222,521.0599976,31.87967491,466.0599976,1.16123116,
506.8599854,1.892688036,516.8599854,13.37155056,526.960022,94.65168762,496.9599915,0.638165772,536.8599854,383.786499,532.8300171,249.3002472,486.9599915,0.8222454786,476.9599915,0.5474421382,521.960022,37.30102921,466.9599915,0.5318956375,
507.9100037,2.002090216,517.9099731,15.8306036,528.0300293,112.181076,498.0299988,0.5178837776,537.9099731,431.100647,533.8800049,283.8617554,488.0299988,0.3719222248,478.0299988,0.2549801767,523.0300293,44.22311783,468.0299988,0.1720755398,
508.9500122,2.411494255,518.9500122,18.87012291,528.9299927,129.86203,498.9299927,0.5279549956,538.9500122,486.1650391,534.9199829,323.6374512,488.9299927,0.2521680892,478.9299927,0.1585712135,523.9299927,51.65788651,468.9299927,0.116003938,
509.8500061,2.721791506,519.8499756,22.12037468,530,152.1572876,500,0.5803512335,539.8499756,520.425354,535.8200073,356.7828674,490,0.2328558266,480,0.1138428673,525,60.73954773,470,0.05962369591,
510.8900146,3.270323277,520.9000244,26.8007431,531.039978,175.7038269,501.0400085,0.6248301268,540.8900146,571.3145752,536.8599854,399.8652039,491.0599976,0.2380909324,481.0599976,0.09682703763,526.0599976,72.36907959,471.0599976,0.1343661845,
511.9400024,3.983738661,521.960022,31.71857834,531.9400024,196.4115906,501.9400024,0.6988115907,541.9400024,617.8147583,537.9099731,448.8494873,491.9599915,0.272229135,481.9599915,0.1306800544,526.960022,84.08340454,471.9599915,0.05432617664,
512.9799805,4.70170927,522.8699951,36.81001282,532.9799805,226.9021759,502.980011,0.8288906217,542.8300171,651.2585449,538.9500122,502.3036499,493.0299988,0.2766565084,483.0299988,0.1383148134,528.0300293,99.64831543,473.0299988,0.08859404176,
513.8800049,5.466646194,523.9299927,44.25873566,534.0200195,258.5802917,504.019989,0.9868423343,543.8800049,702.2926025,539.8499756,539.6773071,493.9299927,0.2802352607,483.9299927,0.1769583225,528.9299927,114.7174759,473.9299927,0.09173563868,
514.9199829,6.698718071,524.8400269,50.87341309,535.0700073,292.3877869,505.0700073,1.10026741,544.9199829,745.322876,540.8900146,599.4476318,495,0.2843117416,485,0.1097671166,530,134.6642151,475,0.05647303909,
515.9699707,8.159357071,525.9000244,60.58631897,535.9699707,324.5885315,505.9700012,1.222488999,545.9699707,781.8476563,541.9400024,644.9605103,496.0599976,0.293014437,486.0599976,0.1441375911,531.039978,153.7034454,476.0599976,0.07887554169,
516.8599854,9.516417503,526.960022,71.9131012,537.0100098,364.9853821,507.0100098,1.420973539,546.8599854,814.9949951,542.8300171,680.8282471,496.9599915,0.3447149992,486.9599915,0.1428968012,531.9400024,172.5239868,476.9599915,0.06932964921,
517.9099731,11.43165016,527.8699951,82.65077972,538.0499878,407.2513733,508.0499878,1.695317864,547.9099731,842.3327026,543.8800049,729.7045288,498.0299988,0.3723503351,488.0299988,0.1656454802,532.9799805,199.4319611,478.0299988,0.06016623974,
518.9500122,13.712924,528.9299927,97.73405457,538.9500122,445.0387268,508.9500122,1.988400698,548.9500122,870.7862549,544.9199829,774.8724976,498.9299927,0.3561737835,488.9299927,0.1191526875,534.0200195,228.2503967,478.9299927,0.03569468111,
519.8499756,16.00746155,529.8400269,110.5481873,540,492.3410339,510,2.400936365,549.8499756,891.2359619,545.8200073,808.0966797,500,0.4134438336,490,0.1042482033,535.0700073,257.0368042,480,0.06318766624,
520.9000244,19.16175079,530.8900146,126.7271652,541.039978,538.0903931,511.0400085,2.846113443,550.8800049,902.5232544,546.8599854,843.163208,501.0400085,0.5244037509,491.0599976,0.1582097709,535.9699707,285.4060364,481.0599976,0.07960077375,
521.960022,22.92945862,531.9400024,146.1288452,541.9400024,574.3843384,511.9400024,3.339861631,551.9099731,906.9412842,547.9099731,878.2678833,501.9400024,0.6162804961,491.9599915,0.1332797408,537.0100098,315.4160461,481.9599915,0.08700931817,
522.8699951,26.64480972,532.8300171,166.5952911,542.9799805,617.0184326,512.9799805,3.98426795,552.9400024,923.7803345,548.9500122,900.1642456,502.980011,0.6536300778,493.0299988,0.1537774205,538.0499878,358.5726318,483.0299988,0.06582290679,
523.9299927,31.79642105,533.8800049,190.6155548,544.0200195,662.9672241,514.0200195,4.839896679,553.9699707,925.4731445,549.8499756,924.546875,504.019989,0.7419484258,493.9299927,0.1582061052,538.9500122,393.4013672,483.9299927,0.06666249782,
524.8400269,36.35656357,534.9199829,214.9717102,545.0700073,697.6890869,515.0700073,5.793671131,554.8499756,918.7044067,550.8800049,944.491272,505.0700073,0.8259856701,495,0.2110320926,540,432.5484009,485,0.06484146416,
525.9000244,43.49135971,535.9699707,243.8355103,545.9699707,731.8504028,515.9699707,6.902313232,555.8800049,920.50354,551.9099731,952.9546509,505.9700012,0.9666203856,496.0599976,0.1926065385,541.039978,473.1512146,486.0599976,0.08931320161,
526.960022,51.60934067,536.8599854,267.3799133,547.0100098,762.2119141,517.0100098,8.254320145,556.9099731,907.6309814,552.9400024,960.6376953,507.0100098,1.101223946,496.9599915,0.218652904,541.9400024,506.0211792,486.9599915,0.08436167985,
527.8699951,59.00259781,537.9099731,299.0047607,548.0499878,793.6342163,518.0499878,9.963531494,557.9400024,893.3116455,553.8200073,959.7807617,508.0499878,1.261948586,498.0299988,0.2448978722,542.9799805,542.7998047,488.0299988,0.09661827236,
528.9299927,70.10047913,538.9500122,334.888031,548.9500122,809.9586792,518.9500122,11.59098625,558.9699707,878.185791,554.8499756,962.6372681,508.9500122,1.509027839,498.9299927,0.2292483449,544.0200195,576.3967285,488.9299927,0.1010184959,
529.8400269,79.71113586,539.8499756,362.2497253,550,833.2736206,520,13.73067379,559.8499756,864.3197632,555.8800049,942.9503174,510,1.767753959,500,0.2091016769,545.0700073,611.7510376,490,0.09054964036,
530.8900146,91.75255585,540.8900146,398.4926453,551.0200195,845.578125,521.0599976,16.62880516,560.8900146,840.2373657,556.9099731,943.3901367,511.0400085,2.088243961,501.0400085,0.3304774463,545.9699707,638.6378174,491.0599976,0.1001990363,
531.9400024,105.1505203,541.9400024,429.283905,552.0499878,860.9369507,521.960022,19.59274101,561.9400024,825.5317993,557.9400024,923.8614502,511.9400024,2.426470757,501.9400024,0.3383852839,547.0100098,669.6485596,491.9599915,0.1437983215,
532.9799805,121.9842072,542.8300171,453.4517822,552.9400024,861.616272,523.0300293,23.37090302,562.8300171,809.5563965,558.8200073,913.128479,512.9799805,2.881822824,502.980011,0.4031520486,548.0499878,694.1136475,493.0299988,0.1262685359,
533.8800049,136.5154419,543.8800049,487.8848877,553.9699707,864.690918,523.9299927,27.20735931,563.8800049,775.8690186,559.8499756,894.5148315,514.0200195,3.5629251,504.019989,0.4789791405,548.9500122,712.8778687,493.9299927,0.1196162775,
534.9199829,154.9165955,544.9199829,516.5307007,555,859.8903809,525,32.03129578,564.9199829,755.0369873,560.8900146,877.90448,515.0700073,4.219836235,505.0700073,0.5090010762,550,727.3253174,495,0.1312369406,
535.9699707,175.6979065,545.9699707,543.9727783,556.0200195,854.7355347,526.0599976,37.87366104,565.9699707,730.1937256,561.9400024,845.6922607,515.9699707,5.05582428,505.9700012,0.5588467121,551.0200195,746.2452393,496.0599976,0.1551762819,
536.8599854,192.7740326,546.8599854,565.0215454,557.0499878,842.9664307,526.960022,43.98567963,566.8599854,703.0777588,562.8300171,824.6146851,517.0100098,5.972622871,507.0100098,0.6959933043,552.0499878,753.7400513,496.9599915,0.1457220018,
537.9099731,216.5783691,547.9099731,587.8148804,557.9400024,833.5289307,528.0300293,52.1958046,567.9099731,680.440979,563.8800049,798.5111084,518.0499878,7.234622478,508.0499878,0.8575704098,552.9400024,757.6525879,498.0299988,0.1193559244,
538.9500122,241.7842407,548.9500122,601.4597168,558.9699707,815.7261963,528.9299927,59.87273026,568.9500122,651.0871582,564.9199829,775.1435547,518.9500122,8.425102234,508.9500122,0.9194939137,553.9699707,760.2438965,498.9299927,0.1870864034,
539.8499756,260.7874756,549.8499756,610.166748,560,800.3552856,530,69.62569427,569.8499756,628.8306885,565.8200073,747.1112061,520,10.00616074,510,1.095148325,555,752.954834,500,0.1857511401,
540.8900146,286.700531,550.8800049,623.355957,561.039978,785.1968994,531.039978,80.64430237,570.8800049,604.1173096,566.8599854,724.9516602,521.0599976,11.99116707,511.0400085,1.278512836,556.0200195,749.9708862,501.0400085,0.2281358838,
541.9400024,308.5603638,551.9099731,637.3255615,561.9400024,764.0966797,531.9400024,90.18152618,571.9099731,580.9659424,567.9099731,702.4703979,521.960022,13.99915981,511.9400024,1.418209553,557.0499878,735.7151489,501.9400024,0.2450635731,
542.9799805,331.4858093,552.9400024,641.7216797,562.9799805,738.3129272,532.9799805,104.2039337,572.9400024,556.8654785,568.9500122,678.7151489,523.0300293,16.71150398,512.9799805,1.783660531,557.9400024,728.9556885,502.980011,0.2970148027,
543.8800049,350.7029724,553.9699707,641.2481689,564.0200195,712.7919922,534.0200195,118.4947586,573.9699707,532.3956909,569.8499756,644.0340576,523.9299927,19.61439133,514.0200195,2.181108236,558.9699707,719.0574951,504.019989,0.3048965037,
544.9199829,375.9200134,554.8499756,636.6528931,565.0700073,691.3128052,535.0700073,134.5846405,574.8499756,522.0968018,570.8800049,624.2225952,525,23.01467705,515.0700073,2.499821663,560,700.8946533,505.0700073,0.360209614,
545.9699707,393.154541,555.8800049,633.0603027,565.9699707,666.0366211,535.9699707,149.6323853,575.8800049,497.4173279,571.9099731,601.6003418,526.0599976,27.07399178,515.9699707,3.104620457,561.039978,681.2695923,505.9700012,0.4251434207,
546.8599854,406.1594543,556.9099731,626.2044678,567.0100098,643.5430298,537.0100098,166.8806458,576.9099731,472.9235229,572.9400024,574.8505859,526.960022,31.64294434,517.0100098,3.529498339,561.9400024,667.6300659,507.0100098,0.4349323511,
547.9099731,423.2806396,557.9400024,614.3547363,568.0499878,618.0852051,538.0499878,185.884201,577.9400024,453.9366455,573.8200073,558.6605225,528.0300293,37.22910309,518.0499878,4.231296539,562.9799805,640.5944214,508.0499878,0.4980722368,
