Sample2,,Sample2,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
300,102.2321472,300,31.21353531,
300.9299927,80.04761505,300.9299927,17.09318542,
302.0299988,70.56959534,302.0299988,7.797507763,
302.9599915,77.58872986,302.9599915,4.98188448,
304.0599976,96.28123474,304.0599976,4.51402235,
305,110.802124,305,5.639751434,
305.9299927,130.5653229,305.9299927,5.851170063,
307.0299988,150.0143585,307.0299988,6.051474571,
307.9599915,167.7187805,307.9599915,7.356133461,
309.0599976,186.4478455,309.0599976,7.258180618,
310,197.8691864,310,8.088559151,
310.9299927,215.8348389,310.9299927,8.967545509,
312.0299988,235.5960541,312.0299988,9.936619759,
312.9599915,253.8143921,312.9599915,10.02972698,
314.0599976,269.1842651,314.0599976,10.84273243,
315,286.2722473,315,10.81964111,
315.9299927,297.5301208,315.9299927,11.2591753,
317.0299988,321.2235718,317.0299988,12.57861614,
317.9599915,338.6246033,317.9599915,13.2779007,
319.0599976,356.0577698,319.0599976,14.46439838,
320,365.6769104,320,15.22328281,
321.0700073,389.9432678,321.0700073,17.12198639,
322,408.8673706,322,19.21552086,
323.0700073,422.821106,323.0700073,21.91936874,
324,429.0783691,324,22.91640282,
325.0700073,439.596405,325.0700073,25.79115105,
326,447.7092896,326,27.21353149,
327.0700073,455.2863464,327.0700073,29.38118744,
328,464.4493408,328,31.10476303,
329.0700073,462.6187439,329.0700073,30.39808273,
330,470.7387695,330,29.99446869,
330.9299927,466.944397,330.9299927,27.31788254,
332.0299988,462.2646179,332.0299988,25.28143311,
332.9599915,469.5420227,332.9599915,22.69421005,
334.0599976,475.4701538,334.0599976,21.67389107,
335,461.9129028,335,19.94057083,
335.9299927,472.0913696,335.9299927,18.91124535,
337.0299988,466.5215759,337.0299988,19.04810143,
337.9599915,466.2288208,337.9599915,17.63248634,
339.0599976,466.5461426,339.0599976,18.07737732,
340,461.5309143,340,17.48260307,
341.0700073,457.056366,341.0700073,17.80443573,
342,452.0673218,342,18.35128212,
343.0700073,445.5791931,343.0700073,17.99225616,
344,438.1248169,344,17.66521263,
345.0700073,429.4138794,345.0700073,17.08324623,
346,422.0673828,346,17.17666054,
347.0700073,415.5645752,347.0700073,16.38871574,
348,408.5654602,348,15.83133793,
349.0700073,406.0301208,349.0700073,15.93595219,
350,396.0337219,350,16.40183258,
351.0700073,385.3709717,351.0700073,15.1478014,
352,379.3566589,352,15.47964764,
353.0700073,368.4325256,353.0700073,14.86781406,
354,357.9590454,354,14.20682716,
355.0700073,349.2024536,355.0700073,14.78616333,
356,340.3648682,356,14.68247032,
357.0700073,331.8274231,357.0700073,13.67644882,
358,324.5653076,358,13.8597641,
359.0700073,312.2503662,359.0700073,13.19416046,
360,307.8570557,360,12.97613049,
361.0700073,293.1060486,361.0700073,12.26456451,
362,286.2411194,362,12.2496109,
363.0700073,278.348114,363.0700073,11.59828949,
364,263.2172546,364,11.64198303,
365.0700073,258.1890259,365.0700073,10.4961834,
366,248.3072357,366,10.22579765,
367.0700073,234.4051056,367.0700073,10.09848499,
368,229.1461487,368,9.169083595,
369.0700073,218.2441406,369.0700073,9.555474281,
370,210.2407684,370,9.555844307,
371.0700073,201.8315735,371.0700073,9.095826149,
372,193.9181366,372,8.740469933,
373.0700073,184.322998,373.0700073,7.905352116,
374,178.9185486,374,8.143677711,
375.0700073,172.5814819,375.0700073,7.84842205,
376,165.2878571,376,7.293559551,
377.0700073,154.4376526,377.0700073,6.808345318,
378,149.7367401,378,6.811114788,
379.0700073,146.2619476,379.0700073,7.197359085,
380,142.2348175,380,6.08494854,
