TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	125/04/01
TIME	09:08:15
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
1.00000
0.00001
FIRSTX	630.0000
LASTX	423.0000
NPOINTS	208
FIRSTY	0.05708
MAXY	0.54550
MINY	0.05607
630.0000	0.05708
629.0000	0.05723
628.0000	0.05673
627.0000	0.0567
626.0000	0.05614
625.0000	0.05607
624.0000	0.05711
623.0000	0.05716
622.0000	0.05697
621.0000	0.05723
620.0000	0.05676
619.0000	0.05715
618.0000	0.05748
617.0000	0.05646
616.0000	0.05685
615.0000	0.05719
614.0000	0.05694
613.0000	0.05747
612.0000	0.05725
611.0000	0.05689
610.0000	0.05787
609.0000	0.05765
608.0000	0.05853
607.0000	0.05693
606.0000	0.05808
605.0000	0.05788
604.0000	0.05825
603.0000	0.0583
602.0000	0.05757
601.0000	0.05787
600.0000	0.05747
599.0000	0.05766
598.0000	0.0582
597.0000	0.05749
596.0000	0.05785
595.0000	0.05757
594.0000	0.05825
593.0000	0.058
592.0000	0.05782
591.0000	0.05783
590.0000	0.05749
589.0000	0.05891
588.0000	0.05816
587.0000	0.05845
586.0000	0.0584
585.0000	0.05876
584.0000	0.05837
583.0000	0.05788
582.0000	0.05871
581.0000	0.05911
580.0000	0.05938
579.0000	0.05959
578.0000	0.05898
577.0000	0.05965
576.0000	0.05876
575.0000	0.06046
574.0000	0.06035
573.0000	0.06093
572.0000	0.06124
571.0000	0.06169
570.0000	0.06193
569.0000	0.06267
568.0000	0.06351
567.0000	0.06399
566.0000	0.06617
565.0000	0.06618
564.0000	0.06756
563.0000	0.06916
562.0000	0.07104
561.0000	0.07331
560.0000	0.07649
559.0000	0.0775
558.0000	0.08134
557.0000	0.08602
556.0000	0.08993
555.0000	0.09422
554.0000	0.10119
553.0000	0.10736
552.0000	0.11542
551.0000	0.12444
550.0000	0.13487
549.0000	0.14593
548.0000	0.15872
547.0000	0.1729
546.0000	0.18759
545.0000	0.20503
544.0000	0.22392
543.0000	0.2442
542.0000	0.26524
541.0000	0.28741
540.0000	0.31063
539.0000	0.3351
538.0000	0.3607
537.0000	0.38412
536.0000	0.40849
535.0000	0.43193
534.0000	0.4548
533.0000	0.47561
532.0000	0.49489
531.0000	0.50987
530.0000	0.52338
529.0000	0.53329
528.0000	0.54041
527.0000	0.5429
526.0000	0.5455
525.0000	0.54258
524.0000	0.53791
523.0000	0.52933
522.0000	0.519
521.0000	0.50856
520.0000	0.49991
519.0000	0.48158
518.0000	0.46721
517.0000	0.45042
516.0000	0.43503
515.0000	0.41913
514.0000	0.40383
513.0000	0.38871
512.0000	0.37467
511.0000	0.36088
510.0000	0.34827
509.0000	0.33649
508.0000	0.32597
507.0000	0.3168
506.0000	0.30808
505.0000	0.29981
504.0000	0.2937
503.0000	0.28788
502.0000	0.28071
501.0000	0.27772
500.0000	0.27284
499.0000	0.26888
498.0000	0.2649
497.0000	0.26119
496.0000	0.25773
495.0000	0.25363
494.0000	0.25048
493.0000	0.24552
492.0000	0.24122
491.0000	0.2372
490.0000	0.23156
489.0000	0.22685
488.0000	0.22038
487.0000	0.21409
486.0000	0.20758
485.0000	0.20164
484.0000	0.19447
483.0000	0.18799
482.0000	0.18221
481.0000	0.17605
480.0000	0.17059
479.0000	0.16399
478.0000	0.15824
477.0000	0.15257
476.0000	0.14808
475.0000	0.14313
474.0000	0.13818
473.0000	0.13386
472.0000	0.13065
471.0000	0.12574
470.0000	0.12387
469.0000	0.12086
468.0000	0.11788
467.0000	0.1153
466.0000	0.11275
465.0000	0.1103
464.0000	0.10931
463.0000	0.10741
462.0000	0.10537
461.0000	0.10443
460.0000	0.10332
459.0000	0.10106
458.0000	0.09936
457.0000	0.09817
456.0000	0.09673
455.0000	0.0962
454.0000	0.09467
453.0000	0.09268
452.0000	0.09213
451.0000	0.09046
450.0000	0.09065
449.0000	0.08905
448.0000	0.08745
447.0000	0.08824
446.0000	0.08646
445.0000	0.08527
444.0000	0.08416
443.0000	0.08345
442.0000	0.08263
441.0000	0.08068
440.0000	0.08229
439.0000	0.08188
438.0000	0.08057
437.0000	0.08138
436.0000	0.08209
435.0000	0.07911
434.0000	0.07983
433.0000	0.07888
432.0000	0.079
431.0000	0.079
430.0000	0.07808
429.0000	0.07894
428.0000	0.07661
427.0000	0.07855
426.0000	0.07866
425.0000	0.0792
424.0000	0.07937
423.0000	0.07842
