Sample2,,Sample2,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
534.9199829,327.9378662,400,26.29537773,
535.9699707,368.003418,401.0700073,25.7595787,
536.8599854,407.6032104,402,25.40684891,
537.9099731,458.2792969,403.0700073,25.00127411,
538.9500122,507.2413025,404,25.13056183,
539.8499756,542.6672974,405.0700073,24.22190857,
540.8900146,598.4846191,406,23.86008644,
541.9400024,649.1408081,407.0700073,23.54178238,
542.8300171,684.9008789,408,23.20398903,
543.8800049,735.8319092,409.0700073,22.74657822,
544.9199829,777.1479492,410,22.2006588,
545.9699707,815.5890503,411.0599976,21.8311348,
546.8599854,849.413208,411.9599915,21.70706558,
547.9099731,888.9227905,413.0299988,21.23190498,
548.9500122,905.4195557,413.9299927,20.77490234,
549.8499756,921.8029175,415,20.71832275,
550.8800049,942.1315308,416.0599976,20.55926514,
551.9099731,956.4154053,416.9599915,20.39614105,
552.9400024,963.5788574,418.0299988,20.23534012,
553.9699707,963.5907593,418.9299927,20.12477493,
554.8499756,958.8876953,420,20.26255417,
555.8800049,951.2674561,421.0599976,20.09396172,
556.9099731,943.6265869,421.9599915,20.06702042,
557.9400024,928.2202759,423.0299988,20.06063652,
558.9699707,905.7701416,423.9299927,20.19809532,
559.8499756,895.6880493,425,20.46830559,
560.8900146,864.3059082,426.0599976,20.57419014,
561.9400024,852.480896,426.9599915,20.96759796,
562.8300171,828.9415894,428.0299988,21.34337616,
563.8800049,800.3597412,428.9299927,22.07853127,
564.9199829,777.8242798,430,23.03708839,
565.9699707,749.1213379,431.0700073,24.30363464,
566.8599854,723.3779907,432,25.77820587,
567.9099731,696.2645874,433.0700073,27.35505676,
568.9500122,672.0509644,434,28.65108109,
569.8499756,648.9098511,435.0700073,30.60489464,
570.8800049,622.1948853,436,32.22327423,
571.9099731,596.0718994,437.0700073,34.74060822,
572.9400024,574.0092163,438,37.69644547,
573.9699707,550.0723267,439.0700073,40.81881714,
574.8499756,532.713501,440,43.64816284,
575.8800049,512.7312012,441.0599976,46.62402725,
576.9099731,487.215332,441.9599915,49.30101776,
577.9400024,471.3134155,443.0299988,52.15600586,
578.9699707,450.3581543,443.9299927,55.42487335,
579.8499756,432.3833923,445,58.73056793,
580.8900146,418.3834229,446.0599976,62.70641708,
581.9400024,403.9264526,446.9599915,65.45401764,
582.8300171,388.9012146,448.0299988,68.5042038,
583.8800049,374.9914246,448.9299927,70.74188995,
584.9199829,361.5542908,450,73.52219391,
585.9699707,348.5465393,451.0599976,77.06085205,
586.8599854,336.9758301,451.9599915,79.55231476,
587.9099731,331.4529114,453.0299988,83.22481537,
588.9500122,321.9783936,453.9299927,86.35058594,
589.8499756,311.6880188,455,89.9777832,
590.8800049,302.059967,456.0599976,94.46878052,
591.9099731,289.6488953,456.9599915,98.73920441,
592.9400024,279.5569763,458.0299988,103.9248734,
593.9699707,272.708252,458.9299927,107.1040344,
594.8499756,265.3300476,460,110.3149033,
595.8800049,256.20401,461.0400085,112.3739624,
596.9099731,252.1289825,461.9400024,114.4263916,
597.9400024,239.7968445,462.980011,118.7600021,
598.9699707,231.777359,464.019989,123.4661865,
599.8499756,226.1805878,465.0700073,130.4507294,
600.8599854,216.3820496,465.9700012,136.6325378,
601.8800049,213.4473267,467.0100098,143.1677094,
602.8900146,204.4606171,468.0499878,150.3133392,
603.9099731,197.8363037,468.9500122,155.9712067,
604.9199829,188.2222748,470,163.8733826,
605.9400024,181.8872528,471.0599976,173.3553009,
606.9500122,175.3830109,471.9599915,180.7137451,
607.9699707,170.9304047,473.0299988,191.7973633,
