500V,,550V,,600V,,650V,,700V,,750V,,800V,,775V,,725V,,790V,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
534.9199829,5.991837978,534.9199829,14.97719002,534.9199829,34.50292969,534.9199829,70.54457855,534.9199829,141.1890869,534.9199829,269.6238403,534.9199829,483.0584717,534.9199829,354.9984131,534.9199829,190.3726196,534.9199829,410.4612732,
535.9699707,6.429268837,535.9699707,16.18305206,535.9699707,37.36021423,535.9699707,75.62236023,535.9699707,151.8224945,535.9699707,289.9633484,535.9699707,524.5178833,535.9699707,386.9249573,535.9699707,206.0055237,535.9699707,445.8170471,
536.8599854,6.83506155,536.8599854,17.38749695,536.8599854,40.46052551,536.8599854,80.44435883,536.8599854,164.9179993,536.8599854,310.4591675,536.8599854,563.6977539,536.8599854,416.3120117,536.8599854,221.7714081,536.8599854,474.4666138,
537.9099731,7.438537598,537.9099731,18.69979095,537.9099731,43.25125885,537.9099731,86.69801331,537.9099731,174.2340851,537.9099731,340.3883362,537.9099731,612.3791504,537.9099731,448.4309387,537.9099731,237.5077362,537.9099731,518.0110474,
538.9500122,8.04562664,538.9500122,20.26881981,538.9500122,46.88565063,538.9500122,94.41873169,538.9500122,191.6642609,538.9500122,364.7006226,538.9500122,662.5287476,538.9500122,485.1540222,538.9500122,260.9835815,538.9500122,550.7886353,
539.8499756,8.417955399,539.8499756,21.38793564,539.8499756,49.1024704,539.8499756,99.82109833,539.8499756,201.2459412,539.8499756,384.8100891,539.8499756,697.2397461,539.8499756,509.4655151,539.8499756,275.4220276,539.8499756,582.1539917,
540.8900146,9.004926682,540.8900146,22.56415749,540.8900146,52.46079254,540.8900146,106.257782,540.8900146,213.7174683,540.8900146,403.7270813,540.8900146,743.7050781,540.8900146,538.8299561,540.8900146,291.2079773,540.8900146,628.8665161,
541.9400024,9.436075211,541.9400024,23.7262249,541.9400024,55.63528061,541.9400024,112.1595459,541.9400024,225.9555664,541.9400024,429.8934631,541.9400024,780.1659546,541.9400024,563.8705444,541.9400024,307.7535095,541.9400024,650.4622192,
542.8300171,9.883827209,542.8300171,24.56545067,542.8300171,57.2444458,542.8300171,114.9282455,542.8300171,233.0109406,542.8300171,442.388916,542.8300171,805.6112061,542.8300171,587.0459595,542.8300171,315.8070679,542.8300171,681.2474976,
