0M,,1M,,2M,,3M,,4M,,5M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
300,105.6866989,300,131.0778046,300,144.3600616,300,128.9197388,300,153.9836884,300,170.7736206,
300.9299927,81.75307465,300.9299927,105.9719772,300.9299927,98.42211914,300.9299927,77.818367,300.9299927,85.12086487,300.9299927,100.5432205,
302.0299988,78.70330811,302.0299988,104.2918777,302.0299988,87.42627716,302.0299988,40.32329178,302.0299988,43.03461456,302.0299988,47.06612778,
302.9599915,95.69438171,302.9599915,114.1388245,302.9599915,92.69439697,302.9599915,35.85642624,302.9599915,33.02986526,302.9599915,36.24665451,
304.0599976,116.5388336,304.0599976,141.8799896,304.0599976,113.619812,304.0599976,35.41563416,304.0599976,32.45933533,304.0599976,35.11511612,
305,134.028656,305,160.5629272,305,127.5241852,305,40.79207611,305,35.46099472,305,38.01364899,
305.9299927,156.2372131,305.9299927,188.2337952,305.9299927,144.4976044,305.9299927,45.33439255,305.9299927,39.20393753,305.9299927,41.41959763,
307.0299988,184.0376587,307.0299988,218.9660034,307.0299988,164.6961975,307.0299988,50.60177994,307.0299988,42.77881622,307.0299988,47.74398422,
307.9599915,202.9798126,307.9599915,238.6451874,307.9599915,184.4507446,307.9599915,58.69705963,307.9599915,50.39519882,307.9599915,53.47033691,
309.0599976,223.7839355,309.0599976,265.3285522,309.0599976,205.4099579,309.0599976,65.72685242,309.0599976,58.03648376,309.0599976,63.7256813,
310,241.1060486,310,286.9230652,310,223.3153534,310,73.39728546,310,64.345047,310,67.71665955,
310.9299927,267.1399841,310.9299927,314.9638367,310.9299927,243.1161652,310.9299927,83.41638947,310.9299927,74.23321533,310.9299927,75.46270752,
312.0299988,284.8499146,312.0299988,329.4952698,312.0299988,265.6278381,312.0299988,95.51746368,312.0299988,82.08465576,312.0299988,87.67541504,
312.9599915,302.6555176,312.9599915,353.3666382,312.9599915,281.5824585,312.9599915,105.6017914,312.9599915,92.85332489,312.9599915,97.61777496,
314.0599976,326.037323,314.0599976,376.0272827,314.0599976,309.8058472,314.0599976,120.5875626,314.0599976,105.285675,314.0599976,111.3968201,
315,346.9804077,315,402.3502808,315,332.6394348,315,131.6083374,315,115.4640427,315,124.0524292,
315.9299927,365.498291,315.9299927,417.0928345,315.9299927,358.1276855,315.9299927,145.1452026,315.9299927,127.0762253,315.9299927,134.6538696,
317.0299988,394.382843,317.0299988,448.0555115,317.0299988,384.8929749,317.0299988,161.9161987,317.0299988,141.7278137,317.0299988,147.933075,
317.9599915,413.6341858,317.9599915,473.9756775,317.9599915,408.7889709,317.9599915,174.2343597,317.9599915,152.3637848,317.9599915,165.3087616,
319.0599976,441.2717896,319.0599976,496.289856,319.0599976,435.1991577,319.0599976,190.4068146,319.0599976,174.330368,319.0599976,181.5653229,
320,456.8087158,320,520.4391479,320,448.9068909,320,210.0313416,320,187.4104004,320,197.4444122,
321.0700073,476.4310608,321.0700073,548.944458,321.0700073,482.1576538,321.0700073,226.5382996,321.0700073,207.3966675,321.0700073,216.3586884,
322,497.914978,322,566.5612183,322,498.1328125,322,249.4725647,322,223.8695526,322,235.4469147,
323.0700073,516.2860107,323.0700073,579.2009277,323.0700073,533.1020508,323.0700073,268.1365967,323.0700073,246.5037079,323.0700073,260.5768127,
324,531.0309448,324,594.322998,324,552.2185059,324,291.2141724,324,270.2225037,324,277.5776367,
325.0700073,549.0253906,325.0700073,618.1762085,325.0700073,576.6447144,325.0700073,310.0760193,325.0700073,287.0410461,325.0700073,303.2788391,
326,555.6815796,326,626.3928223,326,590.2941284,326,327.0603333,326,303.662262,326,325.2561035,
327.0700073,561.0974731,327.0700073,636.4219971,327.0700073,616.5581055,327.0700073,355.5986023,327.0700073,332.4877625,327.0700073,345.6370239,
328,571.0527954,328,639.8234253,328,618.996521,328,369.4012146,328,349.0682678,328,359.4308777,
329.0700073,571.3622437,329.0700073,642.5180054,329.0700073,640.229126,329.0700073,389.4401855,329.0700073,367.3318481,329.0700073,381.2182617,
330,572.9041748,330,643.4658203,330,643.1032104,330,406.2253723,330,383.4335938,330,399.5189209,
330.9299927,575.3441162,330.9299927,646.7858887,330.9299927,662.7879639,330.9299927,418.0103455,330.9299927,386.8240051,330.9299927,408.4748535,
332.0299988,571.43573,332.0299988,638.536377,332.0299988,669.5698853,332.0299988,430.311615,332.0299988,405.7326965,332.0299988,427.5968018,
332.9599915,568.5018921,332.9599915,649.0548706,332.9599915,679.664917,332.9599915,446.7896423,332.9599915,422.5594177,332.9599915,440.3726196,
334.0599976,577.5256958,334.0599976,640.8521729,334.0599976,693.6556396,334.0599976,461.8713989,334.0599976,438.2651672,334.0599976,456.0516663,
335,577.0289307,335,646.0582886,335,703.2258911,335,476.206665,335,447.9205627,335,479.7153931,
335.9299927,570.4257813,335.9299927,640.5464478,335.9299927,715.1124878,335.9299927,495.5124817,335.9299927,463.6633911,335.9299927,483.9125061,
337.0299988,568.7263184,337.0299988,645.4180298,337.0299988,712.0411987,337.0299988,507.0858459,337.0299988,477.7793884,337.0299988,509.6855774,
337.9599915,562.2733154,337.9599915,636.1921387,337.9599915,734.3924561,337.9599915,520.5405884,337.9599915,487.0256042,337.9599915,522.7705078,
339.0599976,564.5570068,339.0599976,636.3108521,339.0599976,734.6978149,339.0599976,542.6077881,339.0599976,509.7373047,339.0599976,540.4005127,
340,552.1677856,340,630.7722778,340,738.8225708,340,555.2050781,340,519.9876099,340,553.0966187,
341.0700073,551.5139771,341.0700073,615.6276245,341.0700073,740.1101074,341.0700073,561.6841431,341.0700073,534.362854,341.0700073,565.5413208,
