0M,,
Wavelength (nm),Intensity (a.u.),
300,105.6866989,
300.9299927,81.75307465,
302.0299988,78.70330811,
302.9599915,95.69438171,
304.0599976,116.5388336,
305,134.028656,
305.9299927,156.2372131,
307.0299988,184.0376587,
307.9599915,202.9798126,
309.0599976,223.7839355,
310,241.1060486,
310.9299927,267.1399841,
312.0299988,284.8499146,
312.9599915,302.6555176,
314.0599976,326.037323,
315,346.9804077,
315.9299927,365.498291,
317.0299988,394.382843,
317.9599915,413.6341858,
319.0599976,441.2717896,
320,456.8087158,
321.0700073,476.4310608,
322,497.914978,
323.0700073,516.2860107,
324,531.0309448,
325.0700073,549.0253906,
326,555.6815796,
327.0700073,561.0974731,
328,571.0527954,
329.0700073,571.3622437,
330,572.9041748,
330.9299927,575.3441162,
332.0299988,571.43573,
332.9599915,568.5018921,
334.0599976,577.5256958,
335,577.0289307,
335.9299927,570.4257813,
337.0299988,568.7263184,
337.9599915,562.2733154,
339.0599976,564.5570068,
340,552.1677856,
341.0700073,551.5139771,
342,548.5003662,
343.0700073,535.5340576,
344,527.133667,
345.0700073,519.9476929,
346,517.9157715,
347.0700073,499.384552,
348,493.3749695,
349.0700073,488.7599792,
350,475.4874878,
351.0700073,468.6477966,
352,453.2922058,
353.0700073,447.5022278,
354,432.7875061,
355.0700073,425.7722473,
356,413.210968,
357.0700073,406.3621521,
358,398.8133545,
359.0700073,380.9405823,
360,367.8982239,
361.0700073,356.6776123,
362,350.1081238,
363.0700073,329.3840637,
364,318.9041138,
365.0700073,311.434082,
366,294.3059387,
367.0700073,279.5056458,
368,275.3335266,
369.0700073,262.6363831,
370,252.9827118,
371.0700073,244.8029938,
372,233.8735352,
373.0700073,227.3479462,
374,214.5018921,
375.0700073,203.7326355,
376,197.2691193,
377.0700073,189.7849884,
378,181.2533569,
379.0700073,173.667572,
380,166.1070251,
381.0700073,159.2886353,
382,150.4118347,
383.0700073,140.9987946,
384,135.9737244,
385.0700073,131.0426483,
386,126.8569946,
387.0700073,121.0325317,
388,112.653717,
389.0700073,108.2796936,
390,103.3097076,
391.0700073,98.3921051,
392,94.94869232,
393.0700073,89.45183563,
394,86.33233643,
395.0700073,81.93240356,
396,77.75576782,
397.0700073,73.63556671,
398,68.79116058,
399.0700073,67.95591736,
400,66.69905853,
401.0700073,60.52829361,
402,58.00796127,
403.0700073,53.84752274,
404,54.02914047,
405.0700073,51.98554611,
406,47.15422821,
407.0700073,44.79668045,
408,43.76082611,
409.0700073,40.9401474,
410,40.17303085,
411.0700073,37.92104721,
412,36.04156113,
413.0700073,34.37698364,
414,33.84897614,
415.0700073,32.28020477,
416,29.58704758,
417.0700073,28.37229919,
418,28.80636597,
419.0700073,27.04580688,
420,24.83008003,
421.0599976,24.5297718,
421.9599915,22.8806591,
423.0299988,22.66782951,
423.9299927,21.35620499,
425,20.24716949,
426.0599976,19.19997025,
426.9599915,19.36210632,
428.0299988,18.09794807,
428.9299927,17.03523445,
430,17.81977844,
431.0700073,16.40104103,
432,14.69939995,
433.0700073,15.07020378,
434,14.241539,
435.0700073,13.46544266,
436,12.85240459,
437.0700073,12.19637871,
438,11.60180283,
439.0700073,12.02520275,
440,10.43264294,
441.0599976,10.78132915,
441.9599915,10.86612129,
443.0299988,10.21437836,
443.9299927,9.380192757,
445,9.48438549,
446.0599976,8.828802109,
446.9599915,7.976993084,
448.0299988,9.02325058,
448.9299927,8.169273376,
450,8.195876122,

0M,
0M
Collection Time: 4/2/2025 11:28:02 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        300.00
Stop (nm)                         450.00
Ex. Wavelength (nm)               295.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   740
Corrected spectra                 OFF
Multicell holder                  Multicell
Multi zero                       OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/2/2025 11:22:42 AM
Method Modifications:
Overlayed Graphs Changed: 4/2/2025 11:23:29 AM, Old:OFF, New:ON
Cell Changer Changed: 4/2/2025 11:23:29 AM, Old:OFF, New:ON
Cell2 Changed: 4/2/2025 11:23:29 AM, Old:OFF, New:ON
Monitoring device: Changed: 4/2/2025 11:23:29 AM, Old:PCB 150, New:Block
Excitation Wavelength Changed: 4/2/2025 11:23:29 AM, Old: 350.00, New: 295.00
Emission Wavelength Changed: 4/2/2025 11:23:29 AM, Old: 400.00, New: 300.00
Stop Wavelength Changed: 4/2/2025 11:23:29 AM, Old: 600.00, New: 450.00
PMT Volts Changed: 4/2/2025 11:24:58 AM, Old:600, New:700
Emission PMT (V): Changed: 4/2/2025 11:24:58 AM, Old: 600, New: 700
PMT Volts Changed: 4/2/2025 11:25:59 AM, Old:700, New:800
Emission PMT (V): Changed: 4/2/2025 11:25:59 AM, Old: 700, New: 800
PMT Volts Changed: 4/2/2025 11:27:00 AM, Old:800, New:750
Emission PMT (V): Changed: 4/2/2025 11:27:00 AM, Old: 800, New: 750
PMT Volts Changed: 4/2/2025 11:27:45 AM, Old:750, New:740
Emission PMT (V): Changed: 4/2/2025 11:27:45 AM, Old: 750, New: 740
Sample2 Changed: 4/2/2025 11:28:02 AM, Old:Sample2, New:0M
End Method Modifications

