0M,,1M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
300,105.6866989,300,131.0778046,
300.9299927,81.75307465,300.9299927,105.9719772,
302.0299988,78.70330811,302.0299988,104.2918777,
302.9599915,95.69438171,302.9599915,114.1388245,
304.0599976,116.5388336,304.0599976,141.8799896,
305,134.028656,305,160.5629272,
305.9299927,156.2372131,305.9299927,188.2337952,
307.0299988,184.0376587,307.0299988,218.9660034,
307.9599915,202.9798126,307.9599915,238.6451874,
309.0599976,223.7839355,309.0599976,265.3285522,
310,241.1060486,310,286.9230652,
310.9299927,267.1399841,310.9299927,314.9638367,
312.0299988,284.8499146,312.0299988,329.4952698,
312.9599915,302.6555176,312.9599915,353.3666382,
314.0599976,326.037323,314.0599976,376.0272827,
315,346.9804077,315,402.3502808,
315.9299927,365.498291,315.9299927,417.0928345,
317.0299988,394.382843,317.0299988,448.0555115,
317.9599915,413.6341858,317.9599915,473.9756775,
319.0599976,441.2717896,319.0599976,496.289856,
320,456.8087158,320,520.4391479,
321.0700073,476.4310608,321.0700073,548.944458,
322,497.914978,322,566.5612183,
323.0700073,516.2860107,323.0700073,579.2009277,
324,531.0309448,324,594.322998,
325.0700073,549.0253906,325.0700073,618.1762085,
326,555.6815796,326,626.3928223,
327.0700073,561.0974731,327.0700073,636.4219971,
328,571.0527954,328,639.8234253,
329.0700073,571.3622437,329.0700073,642.5180054,
330,572.9041748,330,643.4658203,
330.9299927,575.3441162,330.9299927,646.7858887,
332.0299988,571.43573,332.0299988,638.536377,
332.9599915,568.5018921,332.9599915,649.0548706,
334.0599976,577.5256958,334.0599976,640.8521729,
335,577.0289307,335,646.0582886,
335.9299927,570.4257813,335.9299927,640.5464478,
337.0299988,568.7263184,337.0299988,645.4180298,
337.9599915,562.2733154,337.9599915,636.1921387,
339.0599976,564.5570068,339.0599976,636.3108521,
340,552.1677856,340,630.7722778,
341.0700073,551.5139771,341.0700073,615.6276245,
342,548.5003662,342,613.6831055,
343.0700073,535.5340576,343.0700073,596.8528442,
344,527.133667,344,592.1174316,
345.0700073,519.9476929,345.0700073,582.1364136,
346,517.9157715,346,575.7698975,
347.0700073,499.384552,347.0700073,561.9391479,
348,493.3749695,348,558.0484619,
349.0700073,488.7599792,349.0700073,542.7283936,
350,475.4874878,350,534.5513306,
351.0700073,468.6477966,351.0700073,520.8423462,
352,453.2922058,352,518.1062622,
353.0700073,447.5022278,353.0700073,498.5836182,
354,432.7875061,354,490.9090881,
355.0700073,425.7722473,355.0700073,471.4532776,
356,413.210968,356,467.1760254,
357.0700073,406.3621521,357.0700073,455.6919861,
358,398.8133545,358,438.062439,
359.0700073,380.9405823,359.0700073,427.1464844,
360,367.8982239,360,412.8339233,
361.0700073,356.6776123,361.0700073,399.2828674,
362,350.1081238,362,386.2427979,
363.0700073,329.3840637,363.0700073,376.7157593,
364,318.9041138,364,361.1446228,
365.0700073,311.434082,365.0700073,347.1998291,
366,294.3059387,366,336.0655518,
367.0700073,279.5056458,367.0700073,325.51297,
368,275.3335266,368,314.7451782,
369.0700073,262.6363831,369.0700073,301.2503052,
370,252.9827118,370,285.4960938,
371.0700073,244.8029938,371.0700073,272.223114,
372,233.8735352,372,267.223938,
373.0700073,227.3479462,373.0700073,255.306778,
374,214.5018921,374,244.706131,
375.0700073,203.7326355,375.0700073,235.6336823,
376,197.2691193,376,225.3608093,
377.0700073,189.7849884,377.0700073,213.1708527,
378,181.2533569,378,207.0454254,
379.0700073,173.667572,379.0700073,198.2938232,
380,166.1070251,380,189.1830444,
381.0700073,159.2886353,381.0700073,178.9240417,
382,150.4118347,382,172.4349365,
383.0700073,140.9987946,383.0700073,164.6014404,
384,135.9737244,384,152.5865936,
385.0700073,131.0426483,385.0700073,150.533905,
386,126.8569946,386,142.8021393,
387.0700073,121.0325317,387.0700073,138.2584686,
388,112.653717,388,128.2193604,
389.0700073,108.2796936,389.0700073,122.9620438,
390,103.3097076,390,118.67379,
391.0700073,98.3921051,391.0700073,113.033432,
