0M,,1M,,2M,,3M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
300,105.6866989,300,131.0778046,300,144.3600616,300,128.9197388,
300.9299927,81.75307465,300.9299927,105.9719772,300.9299927,98.42211914,300.9299927,77.818367,
302.0299988,78.70330811,302.0299988,104.2918777,302.0299988,87.42627716,302.0299988,40.32329178,
302.9599915,95.69438171,302.9599915,114.1388245,302.9599915,92.69439697,302.9599915,35.85642624,
304.0599976,116.5388336,304.0599976,141.8799896,304.0599976,113.619812,304.0599976,35.41563416,
305,134.028656,305,160.5629272,305,127.5241852,305,40.79207611,
305.9299927,156.2372131,305.9299927,188.2337952,305.9299927,144.4976044,305.9299927,45.33439255,
307.0299988,184.0376587,307.0299988,218.9660034,307.0299988,164.6961975,307.0299988,50.60177994,
307.9599915,202.9798126,307.9599915,238.6451874,307.9599915,184.4507446,307.9599915,58.69705963,
309.0599976,223.7839355,309.0599976,265.3285522,309.0599976,205.4099579,309.0599976,65.72685242,
310,241.1060486,310,286.9230652,310,223.3153534,310,73.39728546,
310.9299927,267.1399841,310.9299927,314.9638367,310.9299927,243.1161652,310.9299927,83.41638947,
312.0299988,284.8499146,312.0299988,329.4952698,312.0299988,265.6278381,312.0299988,95.51746368,
312.9599915,302.6555176,312.9599915,353.3666382,312.9599915,281.5824585,312.9599915,105.6017914,
314.0599976,326.037323,314.0599976,376.0272827,314.0599976,309.8058472,314.0599976,120.5875626,
315,346.9804077,315,402.3502808,315,332.6394348,315,131.6083374,
315.9299927,365.498291,315.9299927,417.0928345,315.9299927,358.1276855,315.9299927,145.1452026,
317.0299988,394.382843,317.0299988,448.0555115,317.0299988,384.8929749,317.0299988,161.9161987,
317.9599915,413.6341858,317.9599915,473.9756775,317.9599915,408.7889709,317.9599915,174.2343597,
319.0599976,441.2717896,319.0599976,496.289856,319.0599976,435.1991577,319.0599976,190.4068146,
320,456.8087158,320,520.4391479,320,448.9068909,320,210.0313416,
321.0700073,476.4310608,321.0700073,548.944458,321.0700073,482.1576538,321.0700073,226.5382996,
322,497.914978,322,566.5612183,322,498.1328125,322,249.4725647,
323.0700073,516.2860107,323.0700073,579.2009277,323.0700073,533.1020508,323.0700073,268.1365967,
324,531.0309448,324,594.322998,324,552.2185059,324,291.2141724,
325.0700073,549.0253906,325.0700073,618.1762085,325.0700073,576.6447144,325.0700073,310.0760193,
326,555.6815796,326,626.3928223,326,590.2941284,326,327.0603333,
327.0700073,561.0974731,327.0700073,636.4219971,327.0700073,616.5581055,327.0700073,355.5986023,
328,571.0527954,328,639.8234253,328,618.996521,328,369.4012146,
329.0700073,571.3622437,329.0700073,642.5180054,329.0700073,640.229126,329.0700073,389.4401855,
330,572.9041748,330,643.4658203,330,643.1032104,330,406.2253723,
330.9299927,575.3441162,330.9299927,646.7858887,330.9299927,662.7879639,330.9299927,418.0103455,
332.0299988,571.43573,332.0299988,638.536377,332.0299988,669.5698853,332.0299988,430.311615,
332.9599915,568.5018921,332.9599915,649.0548706,332.9599915,679.664917,332.9599915,446.7896423,
334.0599976,577.5256958,334.0599976,640.8521729,334.0599976,693.6556396,334.0599976,461.8713989,
335,577.0289307,335,646.0582886,335,703.2258911,335,476.206665,
335.9299927,570.4257813,335.9299927,640.5464478,335.9299927,715.1124878,335.9299927,495.5124817,
337.0299988,568.7263184,337.0299988,645.4180298,337.0299988,712.0411987,337.0299988,507.0858459,
337.9599915,562.2733154,337.9599915,636.1921387,337.9599915,734.3924561,337.9599915,520.5405884,
339.0599976,564.5570068,339.0599976,636.3108521,339.0599976,734.6978149,339.0599976,542.6077881,
340,552.1677856,340,630.7722778,340,738.8225708,340,555.2050781,
341.0700073,551.5139771,341.0700073,615.6276245,341.0700073,740.1101074,341.0700073,561.6841431,
342,548.5003662,342,613.6831055,342,739.5914917,342,573.8666382,
343.0700073,535.5340576,343.0700073,596.8528442,343.0700073,742.6577759,343.0700073,585.7672729,
344,527.133667,344,592.1174316,344,748.8119507,344,594.1083374,
345.0700073,519.9476929,345.0700073,582.1364136,345.0700073,742.4155884,345.0700073,600.8574219,
346,517.9157715,346,575.7698975,346,743.0320435,346,613.1350708,
347.0700073,499.384552,347.0700073,561.9391479,347.0700073,744.5935669,347.0700073,615.371582,
348,493.3749695,348,558.0484619,348,745.9002075,348,624.1743164,
349.0700073,488.7599792,349.0700073,542.7283936,349.0700073,738.0839233,349.0700073,638.2928467,
350,475.4874878,350,534.5513306,350,730.3829956,350,645.102356,
351.0700073,468.6477966,351.0700073,520.8423462,351.0700073,726.2382202,351.0700073,640.8369141,
352,453.2922058,352,518.1062622,352,721.0914307,352,644.9047241,
353.0700073,447.5022278,353.0700073,498.5836182,353.0700073,718.0085449,353.0700073,645.7720337,
