TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	125/04/02
TIME	09:34:32
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
1.00000
0.00001
FIRSTX	350.0000
LASTX	190.0000
NPOINTS	161
FIRSTY	-0.00019
MAXY	2.13961
MINY	-0.00105
350.0000	-1.90001E-04
349.0000	-5.80002E-04
348.0000	0.0036
347.0000	3.60001E-04
346.0000	-0.00105
345.0000	0.00157
344.0000	0.00279
343.0000	0.00393
342.0000	-7.69999E-04
341.0000	0.0023
340.0000	0.00325
339.0000	0.00541
338.0000	0.00474
337.0000	0.00449
336.0000	0.00439
335.0000	0.00489
334.0000	0.00462
333.0000	0.00385
332.0000	0.00414
331.0000	0.00618
330.0000	0.00504
329.0000	0.0046
328.0000	0.00396
327.0000	0.00504
326.0000	0.00488
325.0000	0.00617
324.0000	0.00455
323.0000	0.00555
322.0000	0.00445
321.0000	0.00545
320.0000	0.00497
319.0000	0.00527
318.0000	0.00548
317.0000	0.00686
316.0000	0.00666
315.0000	0.00566
314.0000	0.00666
313.0000	0.00674
312.0000	0.00682
311.0000	0.00851
310.0000	0.00706
309.0000	0.0103
308.0000	0.00838
307.0000	0.01252
306.0000	0.01316
305.0000	0.01503
304.0000	0.01915
303.0000	0.02088
302.0000	0.02534
301.0000	0.02899
300.0000	0.03227
299.0000	0.03796
298.0000	0.04368
297.0000	0.0484
296.0000	0.05567
295.0000	0.06349
294.0000	0.0723
293.0000	0.08064
292.0000	0.09107
291.0000	0.09902
290.0000	0.10365
289.0000	0.10963
288.0000	0.11547
287.0000	0.12226
286.0000	0.13135
285.0000	0.14143
284.0000	0.14726
283.0000	0.15053
282.0000	0.15337
281.0000	0.15185
280.0000	0.15268
279.0000	0.15352
278.0000	0.15408
277.0000	0.15371
276.0000	0.15383
275.0000	0.15021
274.0000	0.14671
273.0000	0.14291
272.0000	0.13942
271.0000	0.13762
270.0000	0.1327
269.0000	0.12879
268.0000	0.12447
267.0000	0.11959
266.0000	0.11527
265.0000	0.10969
264.0000	0.10618
263.0000	0.09982
262.0000	0.09478
261.0000	0.09175
260.0000	0.08676
259.0000	0.08453
258.0000	0.08147
257.0000	0.07642
256.0000	0.07258
255.0000	0.06865
254.0000	0.06721
253.0000	0.0641
252.0000	0.06333
251.0000	0.06304
250.0000	0.06462
249.0000	0.06518
248.0000	0.06826
247.0000	0.07275
246.0000	0.07874
245.0000	0.08716
244.0000	0.09928
243.0000	0.11539
242.0000	0.13614
241.0000	0.16222
240.0000	0.19756
239.0000	0.24235
238.0000	0.29396
237.0000	0.35681
236.0000	0.42771
235.0000	0.50642
234.0000	0.58775
233.0000	0.6779
232.0000	0.76429
231.0000	0.84843
230.0000	0.93026
229.0000	1.01423
228.0000	1.09155
227.0000	1.16935
226.0000	1.24129
225.0000	1.30895
224.0000	1.37746
223.0000	1.44681
222.0000	1.51657
221.0000	1.57914
220.0000	1.65387
219.0000	1.71653
218.0000	1.78709
217.0000	1.84739
216.0000	1.92504
215.0000	1.98499
214.0000	2.03798
213.0000	2.08984
212.0000	2.13191
211.0000	2.13961
210.0000	2.12869
209.0000	2.09624
208.0000	2.05412
207.0000	1.98634
206.0000	1.86936
205.0000	1.78116
204.0000	1.60975
203.0000	1.41549
202.0000	1.16046
201.0000	0.84805
200.0000	0.52044
199.0000	0.31136
198.0000	0.2353
197.0000	0.20622
196.0000	0.17031
195.0000	0.15607
194.0000	0.1451
193.0000	0.12295
192.0000	0.0877301
191.0000	0.10902
190.0000	0.01485
