0,,1,,2,,3,,4,,5,,6,,7,,8,,fondo,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
360,14.36542797,360,11.2399435,360,6.985426903,360,3.746676207,360,1.438676357,360,1.193459868,360,0.369094491,360,-0.1219660938,360,0.8424599767,360,0.242806837,
361.0700073,15.23715878,361.0700073,11.2650671,361.0700073,6.237726688,361.0700073,3.997648716,361.0700073,2.644285917,361.0700073,1.265822768,361.0700073,1.257545352,361.0700073,0.7334066629,361.0700073,0.4949882329,361.0700073,-0.2491901368,
362,13.70022106,362,9.765854836,362,5.828943253,362,2.57762146,362,1.760150194,362,1.829198599,362,0.1144819707,362,0.7288630009,362,1.093294501,362,1.057579279,
363.0700073,13.80757809,363.0700073,10.37756634,363.0700073,5.805515289,363.0700073,2.56598258,363.0700073,1.482833385,363.0700073,1.312022924,363.0700073,0.8819314241,363.0700073,1.284896612,363.0700073,0.7057993412,363.0700073,0.6125949621,
364,12.73743057,364,10.36152744,364,5.103738785,364,2.919052601,364,1.239297032,364,1.231665015,364,1.396648049,364,-0.3551556766,364,0.8254716992,364,1.033324718,
365.0700073,12.85046673,365.0700073,8.856502533,365.0700073,6.116876125,365.0700073,3.019393921,365.0700073,1.549701095,365.0700073,1.019137144,365.0700073,0.7148814797,365.0700073,0.3549455702,365.0700073,0,365.0700073,0.4736530483,
366,12.1563282,366,8.559360504,366,5.614115238,366,3.125,366,1.155534983,366,1.096624851,366,0.8508569598,366,0.5963029265,366,0.9943653345,366,0.8296787739,
367.0700073,11.37009621,367.0700073,8.461191177,367.0700073,5.308335304,367.0700073,3.498190641,367.0700073,0.8925583363,367.0700073,1.20992136,367.0700073,0.4935834408,367.0700073,-0.2357656509,367.0700073,0.330724299,367.0700073,0.8388256431,
368,11.46067429,368,8.056757927,368,4.649618149,368,2.228274345,368,1.25099504,368,0.3390596807,368,0.3633720875,368,-0.1184553429,368,0.803581655,368,0.737010181,
369.0700073,12.27267647,369.0700073,9.368455887,369.0700073,4.414747238,369.0700073,2.71354413,369.0700073,1.058699012,369.0700073,0,369.0700073,0,369.0700073,-0.1251721084,369.0700073,0.2409058064,369.0700073,0.464954108,
370,11.92543793,370,8.211978912,370,5.225032806,370,2.239245653,370,1.092365623,370,0.5588465333,370,0,370,-0.1197604761,370,0.5027019978,370,0.3436032534,
371.0700073,11.61550331,371.0700073,8.041356087,371.0700073,4.096495628,371.0700073,2.312842369,371.0700073,1.06382978,371.0700073,-0.2266545743,371.0700073,0.9281819463,371.0700073,0.3697313368,371.0700073,0.2456097305,371.0700073,-0.3463803232,
372,11.23335266,372,8.331506729,372,4.324078083,372,1.602380633,372,1.428571463,372,0.4749465585,372,1.203369498,372,0,372,0.1219512224,372,-0.3714250326,
373.0700073,10.62573814,373.0700073,8.49598217,373.0700073,4.515457153,373.0700073,2.050663233,373.0700073,0.6304374933,373.0700073,0.3444316983,373.0700073,0.4684937894,373.0700073,0.6053268909,373.0700073,0.4570384026,373.0700073,0.2367424369,
374,10.81916523,374,7.342144012,374,4.314477444,374,1.991798401,374,1.086169362,374,0.4822763503,374,-0.3649635017,374,0.2353494912,374,0.3410641253,374,0.2357656509,
