Distance_(microns)	Gray_Value
0.00000	0.000
0.00365	27.606
0.00730	187.555
0.01095	242.078
0.01459	238.092
0.01824	278.188
0.02189	282.593
0.02554	75.430
0.02919	143.941
0.03284	122.873
0.03648	178.001
0.04013	435.579
0.04378	401.068
0.04743	378.222
0.05108	217.204
0.05473	188.270
0.05838	215.561
0.06202	34.076
0.06567	702.121
0.06932	79.935
0.07297	0.000
0.07662	0.000
0.08027	40.434
0.08391	27.656
0.08756	114.368
0.09121	86.564
0.09486	125.918
0.09851	127.343
0.10216	286.000
0.10581	286.000
0.10945	286.000
0.11310	175.674
0.11675	15.276
0.12040	0.000
0.12405	56.160
0.12770	107.836
0.13134	64.989
0.13499	79.004
0.13864	179.668
0.14229	286.000
0.14594	157.675
0.14959	268.369
0.15324	225.857
0.15688	151.591
0.16053	92.504
0.16418	106.227
0.16783	52.914
0.17148	93.547
0.17513	68.699
0.17878	137.484
0.18242	495.931
0.18607	425.102
0.18972	14.427
0.19337	251.205
0.19702	204.528
0.20067	149.748
0.20431	108.287
0.20796	0.000
0.21161	0.000
0.21526	0.000
0.21891	67.455
0.22256	30.217
0.22621	220.653
0.22985	190.950
0.23350	30.552
0.23715	0.000
0.24080	0.000
0.24445	0.000
0.24810	0.000
0.25174	24.856
0.25539	202.093
0.25904	377.602
0.26269	181.741
0.26634	0.000
0.26999	211.462
0.27364	0.000
0.27728	0.000
0.28093	187.789
0.28458	195.611
0.28823	118.445
0.29188	57.357
0.29553	154.072
0.29917	0.383
0.30282	89.606
0.30647	0.000
0.31012	0.000
0.31377	43.700
0.31742	57.820
0.32107	0.000
0.32471	0.000
0.32836	0.000
0.33201	6.739
0.33566	0.000
0.33931	0.267
0.34296	168.811
0.34660	234.158
0.35025	45.828
0.35390	0.000
0.35755	38.190
0.36120	274.967
0.36485	498.736
0.36850	211.454
0.37214	101.235
0.37579	48.742
0.37944	103.371
0.38309	48.024
0.38674	96.967
0.39039	117.755
0.39403	0.000
0.39768	77.748
0.40133	457.392
0.40498	51.992
