Distance_(microns),Gray_Value
0.000000,0.000
0.003648,0.000
0.007297,0.000
0.010945,0.000
0.014594,15.009
0.018242,1.630
0.021891,106.217
0.025539,109.794
0.029188,54.150
0.032836,93.698
0.036485,144.860
0.040133,15.914
0.043782,180.062
0.047430,377.691
0.051079,79.052
0.054727,0.000
0.058376,0.000
0.062024,68.072
0.065672,225.517
0.069321,288.490
0.072969,265.973
0.076618,423.804
0.080266,147.101
0.083915,3.396
0.087563,26.486
0.091212,0.000
0.094860,0.000
0.098509,0.000
0.102157,131.934
0.105806,120.751
0.109454,165.053
0.113103,26.554
0.116751,9.523
0.120400,87.835
0.124048,346.767
0.127696,335.969
0.131345,123.761
0.134993,0.249
0.138642,81.496
0.142290,103.908
0.145939,90.008
0.149587,119.302
0.153236,0.407
0.156884,39.390
0.160533,103.387
0.164181,71.921
0.167830,204.216
0.171478,50.007
0.175127,227.262
0.178775,293.326
0.182424,183.764
0.186072,134.786
0.189721,300.414
0.193369,363.053
0.197017,137.933
0.200666,12.786
0.204314,289.210
0.207963,211.891
0.211611,286.645
0.215260,461.276
0.218908,236.906
0.222557,245.146
0.226205,176.236
0.229854,271.009
0.233502,174.057
0.237151,489.919
0.240799,388.642
0.244448,379.275
0.248096,370.617
0.251745,404.884
0.255393,203.153
0.259041,235.146
0.262690,415.242
0.266338,516.198
0.269987,538.344
0.273635,835.200
0.277284,1023.935
0.280932,481.024
0.284581,219.168
0.288229,325.109
0.291878,353.827
0.295526,421.280
0.299175,740.941
0.302823,556.241
0.306472,254.163
0.310120,748.628
0.313769,954.154
0.317417,776.280
0.321065,703.247
0.324714,816.157
0.328362,896.859
0.332011,1252.103
0.335659,1208.432
0.339308,865.130
0.342956,760.629
0.346605,369.404
0.350253,500.854
0.353902,640.000
0.357550,536.287
0.361199,966.926
0.364847,784.925
0.368496,365.666
0.372144,747.362
0.375793,759.995
0.379441,783.841
0.383089,905.013
0.386738,945.227
0.390386,886.006
0.394035,944.140
0.397683,803.559
0.401332,889.266
0.404980,787.033
0.408629,392.608
0.412277,565.905
0.415926,569.658
0.419574,330.216
0.423223,635.907
0.426871,685.363
0.430520,452.499
0.434168,631.008
0.437817,536.347
0.441465,225.934
0.445114,644.420
0.448762,606.398
0.452410,541.929
0.456059,763.493
0.459707,876.386
0.463356,530.923
0.467004,452.679
0.470653,401.596
0.474301,362.469
0.477950,432.575
0.481598,313.618
0.485247,572.333
0.488895,54.409
0.492544,439.068
0.496192,594.929
0.499841,493.453
0.503489,399.751
0.507138,229.363
0.510786,773.645
0.514434,589.188
0.518083,96.469
0.521731,21.570
0.525380,520.486
0.529028,751.719
0.532677,473.643
0.536325,28.048
0.539974,116.381
0.543622,414.328
0.547271,472.666
0.550919,114.457
0.554568,190.068
0.558216,248.111
0.561865,421.011
0.565513,44.077
0.569162,235.208
0.572810,373.797
0.576458,23.543
0.580107,217.789
0.583755,143.286
0.587404,30.742
0.591052,200.798
0.594701,61.485
0.598349,46.725
0.601998,164.731
0.605646,408.528
0.609295,186.894
0.612943,156.111
0.616592,0.000
0.620240,6.452
0.623889,161.295
0.627537,30.720
0.631186,4.392
0.634834,223.708
0.638482,207.024
0.642131,47.562
0.645779,74.705
0.649428,11.772
0.653076,14.669
0.656725,70.223
0.660373,37.896
0.664022,0.000
0.667670,25.807
0.671319,28.614
0.674967,211.529
0.678616,202.021
0.682264,107.621
0.685913,106.217
0.689561,1.630
0.693210,0.000
0.696858,149.116
0.700507,191.132
0.704155,131.753
0.707803,8.718E-9
