Distance_(microns),Gray_Value
0.000000,0.000
0.003648,0.000
0.007297,74.298
0.010945,0.000
0.014594,86.935
0.018242,264.220
0.021891,107.699
0.025539,0.000
0.029188,0.000
0.032836,46.669
0.036485,92.378
0.040133,88.552
0.043782,239.135
0.047430,256.039
0.051079,51.922
0.054727,286.000
0.058376,286.000
0.062024,286.000
0.065672,49.245
0.069321,74.408
0.072969,0.000
0.076618,74.268
0.080266,256.840
0.083915,116.231
0.087563,0.000
0.091212,149.649
0.094860,155.745
0.098509,0.000
0.102157,11.035
0.105806,55.046
0.109454,137.340
0.113103,1.627
0.116751,70.012
0.120400,12.172
0.124048,12.437
0.127696,0.000
0.131345,0.000
0.134993,1.545
0.138642,62.561
0.142290,90.540
0.145939,148.560
0.149587,213.991
0.153236,138.511
0.156884,51.845
0.160533,340.687
0.164181,43.400
0.167830,32.310
0.171478,271.640
0.175127,3.590
0.178775,0.000
0.182424,141.305
0.186072,493.760
0.189721,130.150
0.193369,264.656
0.197017,117.280
0.200666,190.532
0.204314,141.475
0.207963,401.757
0.211611,366.816
0.215260,84.962
0.218908,230.784
0.222557,279.244
0.226205,457.155
0.229854,157.398
0.233502,148.311
0.237151,241.724
0.240799,245.787
0.244448,26.497
0.248096,21.029
0.251745,0.000
0.255393,104.544
0.259041,138.777
0.262690,236.821
0.266338,114.337
0.269987,202.932
0.273635,452.928
0.277284,834.148
0.280932,942.180
0.284581,323.263
0.288229,910.593
0.291878,90.404
0.295526,161.728
0.299175,95.530
0.302823,602.215
0.306472,152.244
0.310120,190.268
0.313769,673.927
0.317417,466.709
0.321065,816.196
0.324714,563.285
0.328362,180.695
0.332011,283.982
0.335659,499.568
0.339308,543.658
0.342956,510.072
0.346605,441.742
0.350253,642.221
0.353902,593.575
0.357550,545.461
0.361199,204.526
0.364847,72.306
0.368496,285.763
0.372144,311.866
0.375793,466.477
0.379441,544.661
0.383089,406.374
0.386738,936.227
0.390386,1169.075
0.394035,1026.695
0.397683,1436.933
0.401332,595.294
0.404980,850.514
0.408629,682.819
0.412277,630.321
0.415926,846.725
0.419574,796.903
0.423223,1173.151
0.426871,845.187
0.430520,267.068
0.434168,301.233
0.437817,606.717
0.441465,728.751
0.445114,912.757
0.448762,1268.047
0.452410,744.740
0.456059,938.529
0.459707,1255.360
0.463356,489.618
0.467004,20.248
0.470653,383.761
0.474301,409.665
0.477950,993.592
0.481598,888.520
0.485247,854.526
0.488895,1118.477
0.492544,835.054
0.496192,680.853
0.499841,490.785
0.503489,713.895
0.507138,328.029
0.510786,391.126
0.514434,512.915
0.518083,1020.012
0.521731,289.738
0.525380,623.440
0.529028,599.650
0.532677,378.073
0.536325,498.443
0.539974,173.635
0.543622,377.229
0.547271,272.362
0.550919,425.428
0.554568,319.818
0.558216,64.619
0.561865,239.649
0.565513,417.163
0.569162,10.264
0.572810,59.018
0.576458,290.217
0.580107,38.789
0.583755,215.442
0.587404,12.392
0.591052,44.941
0.594701,396.349
0.598349,243.477
0.601998,285.149
0.605646,407.170
0.609295,126.393
0.612943,13.163
0.616592,476.560
0.620240,312.803
0.623889,21.029
0.627537,164.900
0.631186,1043.671
0.634834,40.756
0.638482,2.423
0.642131,234.023
0.645779,339.510
0.649428,180.761
0.653076,44.439
0.656725,0.000
0.660373,211.925
0.664022,23.240
0.667670,241.125
0.671319,453.905
0.674967,178.379
0.678616,187.004
0.682264,531.290
0.685913,462.246
0.689561,150.557
0.693210,117.497
0.696858,0.466
0.700507,130.706
0.704155,26.902
0.707803,235.741
0.711452,169.359
0.715100,32.310
0.718749,43.380
0.722397,235.951
0.726046,140.008
0.729694,92.690
0.733343,78.445
0.736991,1.625
0.740640,0.000
0.744288,0.000
0.747937,0.000
0.751585,0.000
0.755234,0.000
0.758882,28.289
0.762531,152.621
0.766179,9.904
0.769827,182.157
0.773476,140.008
0.777124,220.271
0.780773,96.954
0.784421,0.000
0.788070,116.231
0.791718,129.679
0.795367,56.318
0.799015,206.766
0.802664,55.046
0.806312,273.893
0.809961,297.551
0.813609,356.928
0.817258,278.375
0.820906,31.944
0.824555,100.564
0.828203,55.241
0.831851,182.868
0.835500,239.889
0.839148,202.235
0.842797,430.420
0.846445,465.946
0.850094,115.379
0.853742,216.594
0.857391,129.594
0.861039,222.452
0.864688,110.197
0.868336,268.050
0.871985,8.454E-9
