Distance_(microns)	Gray_Value
0.000	731.231
1.517	714.938
3.033	743.154
4.550	694.123
6.067	628.538
7.583	464.800
9.100	425.754
10.616	442.369
12.133	504.292
13.650	428.400
15.166	505.138
16.683	542.046
18.200	593.785
19.716	709.000
21.233	869.031
22.750	1160.323
24.266	1138.800
25.783	1160.385
27.299	1316.077
28.816	1462.308
30.333	1335.446
31.849	1378.723
33.366	1434.985
34.883	1669.246
36.399	1617.569
37.916	1381.954
39.432	1363.262
40.949	1633.323
42.466	1862.369
43.982	1974.369
45.499	1749.661
47.016	1577.431
48.532	1687.938
50.049	1939.385
51.566	1876.600
53.082	1655.692
54.599	1658.015
56.115	1524.831
57.632	1634.323
59.149	1538.062
60.665	1573.538
62.182	1670.692
63.699	1585.600
65.215	1446.077
66.732	1529.108
68.249	1470.523
69.765	1471.508
71.282	1433.892
72.798	1519.415
74.315	1537.354
75.832	1532.661
77.348	1389.862
78.865	1039.908
80.382	979.492
81.898	957.431
83.415	739.585
84.932	606.862
86.448	479.108
87.965	418.554
89.481	411.308
90.998	398.415
92.515	362.600
94.031	417.754
95.548	377.385
97.065	423.646
98.581	388.662
100.098	379.877
101.614	406.585
103.131	427.523
104.648	410.200
106.164	376.554
